Title,Category,Img,Country,URL,Domain,Ideology
Black Lives Matter,left,left9.png,United States,https://blacklivesmatter.com,blacklivesmatter.com,Left
Black Main Street,left,left5.png,United States,https://blackmainstreet.net/,blackmainstreet.net,Left
Blue State Daily,left,left2.png,United States,https://bluestatedaily.com,bluestatedaily.com,Left
Boing Boing,left,left7.png,United States,https://boingboing.net,boingboing.net,Left
Boston Review,left,left11.png,United States,http://bostonreview.net,bostonreview.net,Left
Bust Magazine,left,left7.png,United States,https://bust.com,bust.com,Left
Call to Activism,left,left6.png,United States,https://www.calltoactivism.com/,calltoactivism.com,Left
Canada Fact Check,left,left5.png,Canada,https://canadafactcheck.ca,canadafactcheck.ca,Left
Canadian Dimension,left,left3.png,Canada,https://canadiandimension.com/,canadiandimension.com,Left
Capital & Main,left,left10.png,United States,https://capitalandmain.com,capitalandmain.com,Left
Care2,left,left3.png,United States,https://www.care2.com,care2.com,Left
Ceasefire Magazine,left,left7.png,United Kingdom,https://ceasefiremagazine.co.uk/,ceasefiremagazine.co.uk,Left
Center for American Progress,left,left7.png,United States,https://www.americanprogress.org/,americanprogress.org,Left
Center for Media and Democracy (PR Watch),left,left8.png,United States,https://www.prwatch.org/,prwatch.org,Left
Center for a Stateless Society,left,left1.png,United States,https://c4ss.org/,c4ss.org,Left
Change.org,left,left8.png,United States,https://www.change.org/,change.org,Left
Chicago Reader,left,left8.png,United States,https://www.chicagoreader.com/,chicagoreader.com,Left
The Chicago Reporter,left,left8.png,United States,https://www.chicagoreporter.com/,chicagoreporter.com,Left
China Internet Information Center,left,left8.png,China,http://www.china.org.cn/,china.org.cn,Left
Citizen Critics,left,left12.png,United States,https://citizencritics.org,citizencritics.org,Left
CNN,left,left10.png,United States,https://www.cnn.com/,cnn.com,Left
Code Pink,left,left1.png,United States,https://www.codepink.org,codepink.org,Left
ColorLines,left,left7.png,United States,https://www.colorlines.com,colorlines.com,Left
Columbus Free Press,left,left4.png,United States,https://columbusfreepress.com,columbusfreepress.com,Left
Comic Sands,left,left3.png,United States,https://www.comicsands.com,comicsands.com,Left
Common Dreams,left,left6.png,United States,https://www.commondreams.org/,commondreams.org,Left
Commune Magazine,left,left2.png,United States,https://communemag.com/,communemag.com,Left
Cop Block,left,left5.png,United States,http://www.copblock.org/,copblock.org,Left
Cosmopolitan,left,left3.png,United States,https://www.cosmopolitan.com/,cosmopolitan.com,Left
CounterCurrents.org,left,left5.png,India,https://www.countercurrents.org/,countercurrents.org,Left
CounterPunch,left,left3.png,United States,https://www.counterpunch.org,counterpunch.org,Left
Crikey,left,left8.png,Australia,https://www.crikey.com.au/,crikey.com.au,Left
CrimethInc,left,left8.png,United States,https://crimethinc.com/,crimethinc.com,Left
Crooked Media,left,left7.png,United States,https://crooked.com/,crooked.com,Left
Crooks and Liars,left,left3.png,United States,https://crooksandliars.com,crooksandliars.com,Left
Current Affairs Magazine,left,left9.png,United States,https://www.currentaffairs.org/,currentaffairs.org,Left
Curve Magazine,left,left12.png,,http://www.curvemag.com,curvemag.com,Left
Daily Beast,left,left7.png,United States,https://www.thedailybeast.com/,thedailybeast.com,Left
Daily Dot,left,left10.png,United States,https://www.dailydot.com/,dailydot.com,Left
Daily Kos,left,left2.png,United States,https://www.dailykos.com/,dailykos.com,Left
Daily Record (Scotland),left,left8.png,,http://www.dailyrecord.co.uk/,dailyrecord.co.uk,Left
Daily Sound and Fury,left,left1.png,United States,https://dailysoundandfury.com,dailysoundandfury.com,Left
Dallas Voice,left,left8.png,United States,https://dallasvoice.com/,dallasvoice.com,Left
DeadState,left,left6.png,United States,https://deadstate.org/,deadstate.org,Left
Deadspin,left,left8.png,United States,https://deadspin.com/,deadspin.com,Left
Deep South Voice,left,left6.png,United States,https://deepsouthvoice.com/,deepsouthvoice.com,Left
Democracy Chronicles,left,left6.png,,https://democracychronicles.org,democracychronicles.org,Left
Democracy Guardian,left,left2.png,United States,https://democracyguardian.com,democracyguardian.com,Left
Democracy Journal,left,left6.png,United States,https://democracyjournal.org/,democracyjournal.org,Left
Democracy Now,left,left8.png,United States,https://www.democracynow.org/,democracynow.org,Left
Democratic Underground,left,left3.png,United States,https://www.democraticunderground.com/,democraticunderground.com,Left
Deshabhimani,left,left3.png,India,https://www.deshabhimani.com/,deshabhimani.com,Left
DeSmogBlog,left,left12.png,United States,https://www.desmogblog.com/,desmogblog.com,Left
Detroit Metro Times,left,left7.png,United States,https://www.metrotimes.com,metrotimes.com,Left
Dissent Magazine,left,left5.png,United States,https://www.dissentmagazine.org/,dissentmagazine.org,Left
Drudge Retort,left,left7.png,United States,https://drudge.com/,drudge.com,Left
Earth First Journal,left,left4.png,United States,http://earthfirstjournal.org/,earthfirstjournal.org,Left
Ecowatch,left,left8.png,United States,https://www.ecowatch.com,ecowatch.com,Left
ElectoralVote.com,left,left11.png,Netherlands,https://www.electoral-vote.com,electoral-vote.com,Left
Electronic Intifada,left,left5.png,United States,https://electronicintifada.net/,electronicintifada.net,Left
Elite Daily,left,left12.png,United States,https://elitedaily.com/,elitedaily.com,Left
Esquire Magazine,left,left6.png,United States,https://www.esquire.com,esquire.com,Left
Everyday Feminism,left,left9.png,United States,https://everydayfeminism.com/,everydayfeminism.com,Left
Evonomics,left,left7.png,United States,https://evonomics.com/,evonomics.com,Left
ExtraNewsFeed,left,left5.png,United States,https://extranewsfeed.com,extranewsfeed.com,Left
Feminist Current,left,left11.png,Canada,http://www.feministcurrent.com,feministcurrent.com,Left
Feministing,left,left5.png,United States,http://feministing.com/,feministing.com,Left
The Fifth Column,left,left7.png,United States,https://thefifthcolumnnews.com/,thefifthcolumnnews.com,Left
Fifth Estate,left,left8.png,United States,https://www.fifthestate.org/,fifthestate.org,Left
Finnish News,left,left5.png,Finland,https://www.finnishnews.fi/,finnishnews.fi,Left
Food and Water Watch,left,left4.png,United States,https://www.foodandwaterwatch.org,foodandwaterwatch.org,Left
Foreign Policy Journal,left,left4.png,United States,https://www.foreignpolicyjournal.com,foreignpolicyjournal.com,Left
Foreign Policy News,left,left7.png,United States,http://foreignpolicynews.org,foreignpolicynews.org,Left
FreePress.org,left,left3.png,,http://freepress.org/,freepress.org,Left
Free Rein News,left,left2.png,,http://frnewsreport.com,frnewsreport.com,Left
Freedom From Religion Foundation (FFRF),left,left10.png,United States,https://ffrf.org/,ffrf.org,Left
Freedom News and Journal,left,left3.png,,https://freedomnews.org.uk/,freedomnews.org.uk,Left
Front Page Live,left,left4.png,United States,https://www.frontpagelive.com,frontpagelive.com,Left
FStv (freespeech.org),left,left7.png,United States,https://www.freespeech.org/,freespeech.org,Left
Geopolitics Alert,left,left9.png,United States,https://geopoliticsalert.com/,geopoliticsalert.com,Left
Gizmodo,left,left10.png,United States,https://gizmodo.com,gizmodo.com,Left
GLAAD,left,left4.png,United States,https://www.glaad.org/,glaad.org,Left
Global Voices,left,left12.png,United States,https://globalvoices.org/,globalvoices.org,Left
Good Magazine,left,left7.png,United States,https://www.good.is/,good.is,Left
GQ Magazine,left,left11.png,United States,https://www.gq.com,gq.com,Left
Grasping Reality With Both Hands: Bradford DeLong,left,left9.png,United States,http://www.bradford-delong.com/,bradford-delong.com,Left
Green Left Weekly,left,left4.png,Australia,https://www.greenleft.org.au,greenleft.org.au,Left
Grit Post,left,left9.png,United States,https://gritpost.com,gritpost.com,Left
Guardian Liberty Voice,left,left5.png,United States,https://guardianlv.com/,guardianlv.com,Left
Guardians of Democracy,left,left1.png,United States,https://theguardiansofdemocracy.com/,theguardiansofdemocracy.com,Left
Haaretz,left,left11.png,Israel,https://www.haaretz.com/,haaretz.com,Left
Hill Reporter,left,left5.png,United States,https://hillreporter.com,hillreporter.com,Left
Huffington Post (HuffPost),left,left8.png,United States,https://www.huffpost.com/,huffpost.com,Left
Human Rights Campaign (HRC),left,left6.png,United States,https://www.hrc.org,hrc.org,Left
In Defence of Marxism,left,left3.png,,https://www.marxist.com/,marxist.com,Left
In These Times,left,left4.png,United States,https://inthesetimes.com/,inthesetimes.com,Left
Inequality Media,left,left12.png,United States,https://www.inequalitymedia.org/,inequalitymedia.org,Left
Informed Comment,left,left11.png,,https://www.juancole.com,juancole.com,Left
Institute for Policy Studies,left,left2.png,,https://ips-dc.org/,ips-dc.org,Left
International Viewpoint,left,left1.png,,http://www.internationalviewpoint.org/,internationalviewpoint.org,Left
Intrepid Report,left,left6.png,United States,http://www.intrepidreport.com/,intrepidreport.com,Left
Iowa Capital Dispatch,left,left10.png,United States,https://iowacapitaldispatch.com/,iowacapitaldispatch.com,Left
Iowa Starting Line,left,left8.png,United States,https://iowastartingline.com,iowastartingline.com,Left
It’s Going Down,left,left2.png,United States,https://itsgoingdown.org/,itsgoingdown.org,Left
Jacobin,left,left4.png,United States,https://www.jacobinmag.com/,jacobinmag.com,Left
Jezebel,left,left3.png,United States,https://jezebel.com/,jezebel.com,Left
Latest.com,left,left1.png,United States,https://latest.com,latest.com,Left
Lavender Magazine,left,left9.png,United States,https://www.lavendermagazine.com/,lavendermagazine.com,Left
LA Weekly,left,left2.png,United States,https://www.laweekly.com/,laweekly.com,Left
Left Foot Forward,left,left7.png,United Kingdom,https://leftfootforward.org/,leftfootforward.org,Left
Left Over Rights,left,left3.png,,http://leftoverrights.com/,leftoverrights.com,Left
Left Voice,left,left8.png,Argentina,https://www.leftvoice.org,leftvoice.org,Left
LeftScoop,left,left1.png,,https://www.leftscoop.com/,leftscoop.com,Left
LGBTQ Nation,left,left4.png,United States,https://www.lgbtqnation.com/,lgbtqnation.com,Left
Libcom.org,left,left2.png,,http://libcom.org,libcom.org,Left
Liberal America,left,left6.png,United States,http://liberalamerica.org/,liberalamerica.org,Left
Liberation News,left,left5.png,United States,https://www.liberationnews.org/,liberationnews.org,Left
Little Green Footballs,left,left8.png,United States,http://littlegreenfootballs.com/,littlegreenfootballs.com,Left
Mashable,left,left10.png,United States,https://mashable.com,mashable.com,Left
Media Matters,left,left7.png,United States,https://www.mediamatters.org,mediamatters.org,Left
Mediaite,left,left7.png,United States,https://www.mediaite.com/,mediaite.com,Left
Meduza,left,left11.png,Latvia,https://meduza.io/en,meduza.io,Left
MeidasTouch,left,left2.png,United States,https://www.meidastouch.com/,meidastouch.com,Left
Merry Jane,left,left10.png,United States,https://www.merryjane.com/,merryjane.com,Left
Miami New Times,left,leftcenter01.png,United States,http://www.miaminewtimes.com/,miaminewtimes.com,Left
Middle East Monitor,left,left9.png,United Kingdom,https://www.middleeastmonitor.com/,middleeastmonitor.com,Left
Modern Liberals,left,left1.png,United States,http://modernliberals.com/,modernliberals.com,Left
Molad The Center for the Renewal of Israeli Democracy,left,left10.png,,http://www.molad.org/en/,molad.org,Left
Monthly Review,left,left3.png,United States,https://monthlyreview.org/,monthlyreview.org,Left
Moon of Alabama,left,left4.png,United States,https://www.moonofalabama.org/,moonofalabama.org,Left
Ms. (Magazine),left,left10.png,United States,https://msmagazine.com/,msmagazine.com,Left
MSNBC,left,left8.png,United States,https://www.msnbc.com/,msnbc.com,Left
Nation of Change,left,left5.png,United States,https://www.nationofchange.org/,nationofchange.org,Left
National Association for the Advancement of Colored People (NAACP),left,left9.png,United States,https://www.naacp.org/,naacp.org,Left
Natural Resources Defense Council (NRDC),left,left10.png,United States,https://www.nrdc.org/,nrdc.org,Left
New Internationalist,left,left4.png,United Kingdom,https://newint.org/,newint.org,Left
New Politics Magazine,left,leftcenter01.png,United States,https://newpol.org/,newpol.org,Left
New Republic,left,left6.png,United States,https://newrepublic.com/,newrepublic.com,Left
New Statesman,left,left6.png,United Kingdom,https://www.newstatesman.com,newstatesman.com,Left
New York Amsterdam News,left,left11.png,United States,http://amsterdamnews.com,amsterdamnews.com,Left
New York Magazine,left,left9.png,United States,http://nymag.com/,nymag.com,Left
New Yorker,left,left7.png,United States,https://www.newyorker.com/,newyorker.com,Left
News Corpse,left,left2.png,United States,https://www.newscorpse.com/,newscorpse.com,Left
NewsHounds,left,left4.png,United States,https://www.newshounds.us/,newshounds.us,Left
NewsOne,left,left7.png,United States,https://newsone.com/,newsone.com,Left
North99,left,left6.png,Canada,https://north99.org/,north99.org,Left
Now Magazine,left,left12.png,,https://nowtoronto.com/,nowtoronto.com,Left
Occupy.com,left,left6.png,United States,https://www.occupy.com,occupy.com,Left
One Green Planet,left,left3.png,United States,http://www.onegreenplanet.org,onegreenplanet.org,Left
OpEdNews (OEN),left,left3.png,United States,https://www.opednews.com/,opednews.com,Left
Open Society Foundations,left,left2.png,United States,https://www.opensocietyfoundations.org/,opensocietyfoundations.org,Left
Out Magazine,left,left8.png,United States,https://www.out.com,out.com,Left
Palmer Report,left,left3.png,United States,https://www.palmerreport.com,palmerreport.com,Left
Paste Magazine,left,left8.png,United States,https://www.pastemagazine.com/,pastemagazine.com,Left
Peacock Panache,left,left3.png,United States,https://www.peacock-panache.com/,peacock-panache.com,Left
Pennsylvania CapitalStar,left,left10.png,United States,https://www.penncapital-star.com/,penncapital-star.com,Left
PINAC,left,leftcenter02.png,United States,https://newsmaven.io/pinacnews,newsmaven.io,Left
PinkNews,left,left8.png,United Kingdom,https://www.pinknews.co.uk,pinknews.co.uk,Left
Political Dig,left,left2.png,United States,http://politicaldig.com/,politicaldig.com,Left
Political Tribune (DC Tribune),left,left1.png,United States,https://polinews.org/,polinews.org,Left
PoliticusUSA,left,left2.png,United States,https://www.politicususa.com,politicususa.com,Left
Politizoom,left,left3.png,United States,https://politizoom.com,politizoom.com,Left
Popular Information,left,left7.png,United States,https://popular.info,popular.info,Left
Popular Resistance,left,left9.png,,https://popularresistance.org/,popularresistance.org,Left
Press Progress,left,left10.png,Canada,https://www.pressprogress.ca/,pressprogress.ca,Left
Progressive Army,left,left8.png,,http://progressivearmy.com,progressivearmy.com,Left
Progressive Change Campaign Committee,left,left2.png,United States,https://www.boldprogressives.org/,boldprogressives.org,Left
Project Censored,left,left11.png,,http://projectcensored.org/,projectcensored.org,Left
Queerty,left,left10.png,,https://www.queerty.com,queerty.com,Left
Rabble.ca,left,left5.png,Canada,http://rabble.ca/,rabble.ca,Left
Rantt Media,left,left11.png,United States,https://rantt.com,rantt.com,Left
Raw Story,left,left5.png,United States,https://www.rawstory.com/,rawstory.com,Left
Reader Supported News (RSN),left,left8.png,,http://readersupportednews.org,readersupportednews.org,Left
Reading the Pictures,left,left10.png,,http://www.readingthepictures.org,readingthepictures.org,Left
Real News Network,left,left10.png,United States,https://therealnews.com/,therealnews.com,Left
Red Pepper,left,left2.png,United Kingdom,http://www.redpepper.org.uk/,redpepper.org.uk,Left
Refinery29,left,left6.png,United States,https://www.refinery29.com/,refinery29.com,Left
Republicans Suck,left,left1.png,,http://republicanssucks.org,republicanssucks.org,Left
Republic Report,left,left8.png,United States,https://www.republicreport.org,republicreport.org,Left
Resilience (Post Carbon Institute),left,left3.png,United States,https://www.resilience.org,resilience.org,Left
Revcom.us,left,extremeleft05.png,United States,https://revcom.us/,revcom.us,Left
Rewire News Group,left,left8.png,United States,https://rewirenewsgroup.com/,rewirenewsgroup.com,Left
Right Wing Watch,left,left3.png,United States,https://www.rightwingwatch.org/,rightwingwatch.org,Left
Ring of Fire,left,left2.png,United States,https://trofire.com/,trofire.com,Left
Rolling Stone,left,left9.png,United States,https://www.rollingstone.com/,rollingstone.com,Left
Salon,left,left6.png,United States,https://www.salon.com,salon.com,Left
San Francisco Bay View,left,left3.png,United States,https://sfbayview.com/,sfbayview.com,Left
Scary Mommy,left,left12.png,United States,https://www.scarymommy.com/,scarymommy.com,Left
Second Nexus,left,left8.png,United States,https://secondnexus.com,secondnexus.com,Left
Seventeen,left,left7.png,United States,https://www.seventeen.com/,seventeen.com,Left
Shadow Proof,left,left4.png,,https://shadowproof.com,shadowproof.com,Left
Shareblue,left,left1.png,United States,https://shareblue.com/,shareblue.com,Left
Shondaland,left,left11.png,United States,https://www.shondaland.com/,shondaland.com,Left
Slate,left,left8.png,United States,https://slate.com,slate.com,Left
Sludge,left,left11.png,United States,https://readsludge.com/,readsludge.com,Left
Smirking Chimp,left,left8.png,,http://www.smirkingchimp.com/,smirkingchimp.com,Left
Socialist Standard,left,left3.png,United Kingdom,https://www.worldsocialism.org/spgb/,worldsocialism.org,Left
SocialistWorker.org,left,left3.png,United States,https://socialistworker.org/,socialistworker.org,Left
Source Politics,left,left2.png,United States,https://www.sourcepolitics.com,sourcepolitics.com,Left
SourceWatch,left,left5.png,United States,https://www.sourcewatch.org/,sourcewatch.org,Left
Southern Poverty Law Center (SPLC),left,left11.png,United States,https://www.splcenter.org/,splcenter.org,Left
Splinter,left,left3.png,United States,https://splinternews.com,splinternews.com,Left
St. Pete for Peace,left,left11.png,United States,https://www.stpete4peace.org/,stpete4peace.org,Left
Syriana Analysis,left,left11.png,,http://www.syriana-analysis.com,syriana-analysis.com,Left
Talking Points Memo,left,left8.png,United States,https://talkingpointsmemo.com,talkingpointsmemo.com,Left
Teen Vogue,left,left7.png,United States,https://www.teenvogue.com,teenvogue.com,Left
The 19th News,left,left5.png,United States,https://19thnews.org/,19thnews.org,Left
The Advocate,left,left8.png,United States,https://www.advocate.com,advocate.com,Left
The American Independent Institute,left,left7.png,United States,https://americanindependent.com/,americanindependent.com,Left
The American Prospect,left,left7.png,United States,https://prospect.org,prospect.org,Left
The Austin Chronicle,left,left10.png,United States,https://www.austinchronicle.com,austinchronicle.com,Left
The Baffler,left,left5.png,United States,https://thebaffler.com/,thebaffler.com,Left
The Blue Route,left,left4.png,United States,http://theblueroute.org/,theblueroute.org,Left
The Burning Spear,left,left7.png,,http://www.theburningspear.com/,theburningspear.com,Left
The Canary (UK),left,left7.png,United Kingdom,https://www.thecanary.co/,thecanary.co,Left
The Climate Reality Project,left,left12.png,United States,https://www.climaterealityproject.org/,climaterealityproject.org,Left
The Cut,left,left9.png,United States,https://www.thecut.com/,thecut.com,Left
Daily 49er,left,left11.png,United States,http://www.daily49er.com/,daily49er.com,Left
The Daily Banter,left,left2.png,United States,https://thedailybanter.com/,thedailybanter.com,Left
The Daily Buzz,left,left11.png,United States,https://the-daily.buzz/,the-daily.buzz,Left
The Daily Poster,left,left4.png,United States,https://www.dailyposter.com/,dailyposter.com,Left
The Daily Vox,left,left9.png,South Africa,https://www.thedailyvox.co.za/,thedailyvox.co.za,Left
The Democratic Hub,left,left2.png,United States,http://www.democratichub.com/,democratichub.com,Left
The Dodo,left,left4.png,United States,https://www.thedodo.com,thedodo.com,Left
The Dworkin Report,left,left2.png,United States,https://dworkinreport.com,dworkinreport.com,Left
The Florida Squeeze,left,left9.png,,https://thefloridasqueeze.com/,thefloridasqueeze.com,Left
The Ghion Journal,left,left2.png,United States,https://ghionjournal.com,ghionjournal.com,Left
TheImproper Magazine,left,left5.png,United States,https://www.theimproper.com,theimproper.com,Left
The Indypendent,left,left7.png,United States,https://indypendent.org,indypendent.org,Left
The Intellectualist,left,left6.png,United States,https://mavenroundtable.io/theintellectualist/,mavenroundtable.io,Left
The Lily,left,left12.png,,https://www.thelily.com/,thelily.com,Left
The London Economic,left,left2.png,United Kingdom,https://www.thelondoneconomic.com,thelondoneconomic.com,Left
The Mary Sue,left,left9.png,United States,https://www.themarysue.com,themarysue.com,Left
The Militant,left,left11.png,United States,https://themilitant.com/,themilitant.com,Left
The Monthly (Australia),left,left8.png,Australia,https://www.themonthly.com.au/,themonthly.com.au,Left
The Morning Star,left,left2.png,United Kingdom,https://morningstaronline.co.uk/,morningstaronline.co.uk,Left
The Nation,left,left8.png,United States,https://www.thenation.com/,thenation.com,Left
The National Memo,left,left8.png,United States,https://www.nationalmemo.com/,nationalmemo.com,Left
The New Civil Rights Movement,left,left3.png,United States,https://www.thenewcivilrightsmovement.com/,thenewcivilrightsmovement.com,Left
The Outline,left,left11.png,,https://theoutline.com/,theoutline.com,Left
The Palestine Chronicle,left,left7.png,United States,https://www.palestinechronicle.com,palestinechronicle.com,Left
The Phnom Penh Post,left,left5.png,Cambodia,https://www.phnompenhpost.com/,phnompenhpost.com,Left
The Progressive,left,left6.png,United States,https://progressive.org/,progressive.org,Left
The Progressive Frontier,left,left1.png,United States,https://progressivefrontier.com,progressivefrontier.com,Left
The RealityBased Community,left,left9.png,,http://www.samefacts.com/,samefacts.com,Left
The Root,left,left8.png,United States,https://www.theroot.com/,theroot.com,Left
The Source Newspaper (La Source),left,left6.png,,http://thelasource.com/en/,thelasource.com,Left
The Stern Facts,left,left3.png,,https://thesternfacts.com/,thesternfacts.com,Left
The Stranger,left,left10.png,United States,https://www.thestranger.com/,thestranger.com,Left
The Texas Observer,left,left10.png,United States,https://www.texasobserver.org,texasobserver.org,Left
The Village Voice,left,left6.png,United States,https://www.villagevoice.com/,villagevoice.com,Left
The Walrus,left,left7.png,Canada,https://thewalrus.ca/,thewalrus.ca,Left
The Washington Spectator,left,left8.png,United States,https://washingtonspectator.org/,washingtonspectator.org,Left
The Week (USA),left,left9.png,United States,https://theweek.com/,theweek.com,Left
The World Can’t Wait,left,left6.png,,https://worldcantwait.net/,worldcantwait.net,Left
TheGrio,left,left5.png,United States,https://thegrio.com/,thegrio.com,Left
The Zero Hour,left,left10.png,United States,https://thisisthezerohour.com/,thisisthezerohour.com,Left
Them.us,left,left7.png,United States,https://www.them.us/,them.us,Left
TheosWatch.com,left,left1.png,,http://theoswatch.com,theoswatch.com,Left
Think Progress,left,left4.png,United States,https://thinkprogress.org/,thinkprogress.org,Left
This Magazine,left,left7.png,Canada,https://this.org/,this.org,Left
Towleroad,left,left7.png,United States,http://www.towleroad.com/,towleroad.com,Left
TreeHugger,left,left7.png,United States,https://www.treehugger.com/,treehugger.com,Left
Truthdig,left,left7.png,United States,https://www.truthdig.com/,truthdig.com,Left
TruthOut,left,left1.png,United States,https://truthout.org/,truthout.org,Left
Truth Theory,left,left11.png,United Kingdom,https://truththeory.com,truththeory.com,Left
Unicorn Riot,left,left7.png,United States,https://unicornriot.ninja/,unicornriot.ninja,Left
Uproxx,left,left11.png,,https://uproxx.com/,uproxx.com,Left
Upworthy,left,left8.png,United States,https://www.upworthy.com/,upworthy.com,Left
Vanity Fair,left,left7.png,United States,https://www.vanityfair.com,vanityfair.com,Left
Vermont Independent,left,left7.png,,http://www.vermontindependent.org/,vermontindependent.org,Left
Verrit,left,left8.png,,https://verrit.com,verrit.com,Left
Viral Title,left,left3.png,Panama,http://viraltitle.com,viraltitle.com,Left
Vox,left,left8.png,United States,https://www.vox.com/,vox.com,Left
Wall Street on Parade,left,leftcenter03.png,United States,https://wallstreetonparade.com/,wallstreetonparade.com,Left
Washington Babylon,left,left7.png,United States,https://washingtonbabylon.com/,washingtonbabylon.com,Left
Washington Daily Wire,left,left2.png,United States,http://www.washingtondailywire.com,washingtondailywire.com,Left
Washington Press,left,left1.png,United States,https://washingtonpress.com/,washingtonpress.com,Left
Washington Sources,left,left3.png,United States,http://washingtonsources.org,washingtonsources.org,Left
Washingtonian,left,left7.png,United States,https://www.washingtonian.com,washingtonian.com,Left
Wear Your Voice,left,left8.png,,https://wearyourvoicemag.com,wearyourvoicemag.com,Left
We Hunted the Mammoth,left,left6.png,United States,http://www.wehuntedthemammoth.com/,wehuntedthemammoth.com,Left
White House Watch,left,left1.png,United States,https://whitehousewatch.com,whitehousewatch.com,Left
Who.What.Why,left,left9.png,,https://whowhatwhy.org/,whowhatwhy.org,Left
Wonkette,left,left2.png,United States,https://www.wonkette.com,wonkette.com,Left
Workers World,left,left3.png,,http://www.workers.org/,workers.org,Left
World Socialist Web Site,left,left3.png,United States,https://www.wsws.org,wsws.org,Left
Yes Magazine,left,left8.png,United States,https://www.yesmagazine.org,yesmagazine.org,Left
The Young Turks,left,left3.png,United States,https://tytnetwork.com/,tytnetwork.com,Left
Your Black World,left,left8.png,United States,http://yourblackworld.net,yourblackworld.net,Left
Z Magazine,left,left3.png,United States,https://zcomm.org/zmag/,zcomm.org,Left
604 Now,center-left,leftcenter06.png,Canada,https://604now.com/,604now.com,Center-left
972 Magazine,center-left,leftcenter01.png,United States,https://972mag.com/,972mag.com,Center-left
1600 Daily,center-left,right051.png,United States,https://www.whitehouse.gov/1600daily,whitehouse.gov,Center-left
ABC News,center-left,leftcenter06.png,United States,https://abcnews.go.com,abcnews.go.com,Center-left
ABC News Australia,center-left,leftcenter09.png,Australia,https://www.abc.net.au,abc.net.au,Center-left
ABC11 Eyewitness News,center-left,leftcenter07.png,United States,https://abc11.com/,abc11.com,Center-left
Above the Law,center-left,leftcenter09.png,United States,https://abovethelaw.com/,abovethelaw.com,Center-left
AceShowbiz (ASB),center-left,leftcenter05.png,,https://www.aceshowbiz.com/,aceshowbiz.com,Center-left
American Civil Liberties Union (ACLU),center-left,leftcenter08.png,United States,https://www.aclu.org/,aclu.org,Center-left
Aeon,center-left,leftcenter08.png,Australia,https://aeon.co/,aeon.co,Center-left
Affinity Magazine,center-left,leftcenter03.png,United States,http://affinitymagazine.us/,affinitymagazine.us,Center-left
African Arguments,center-left,leftcenter06.png,,https://africanarguments.org/,africanarguments.org,Center-left
Africa News,center-left,leftcenter03.png,France,https://www.africanews.com/,africanews.com,Center-left
Ahval News,center-left,leftcenter02.png,Cyprus,https://ahvalnews.com/,ahvalnews.com,Center-left
Akron Beacon Journal,center-left,leftcenter09.png,United States,https://www.beaconjournal.com/,beaconjournal.com,Center-left
Al Jazeera,center-left,leftcenter07.png,Qatar,https://www.aljazeera.com/,aljazeera.com,Center-left
Al Monitor,center-left,leftcenter07.png,United States,https://www.al-monitor.com/,al-monitor.com,Center-left
AlSura,center-left,leftcenter07.png,United States,https://al-sura.com,al-sura.com,Center-left
Alan Guttmacher Institute,center-left,leftcenter06.png,United States,https://www.guttmacher.org/,guttmacher.org,Center-left
Albany TimesUnion,center-left,leftcenter10.png,United States,https://www.timesunion.com/,timesunion.com,Center-left
